reg0,reg1
27,16
173,198
75,238
182,140
48,166
53,102
67,62
175,68
22,58
47,186
137,105
191,182
191,167
81,76
33,74
86,134
72,81
249,130
43,214
76,141
163,229
214,127
253,180
121,13
88,129
31,55
62,29
28,91
116,68
30,175
168,39
167,155
214,234
52,69
219,236
139,56
39,39
134,197
95,187
221,194
224,243
196,120
199,170
147,9
170,253
198,135
161,26
165,154
222,50
42,61
148,108
177,25
87,64
217,223
169,151
214,100
120,160
52,55
76,57
17,99
41,54
31,62
76,159
95,182
121,171
172,102
89,111
11,157
170,2
97,202
120,140
212,247
120,155
61,168
174,3
173,70
77,131
174,106
134,65
192,253
137,221
45,65
193,88
167,42
62,242
179,102
126,195
189,236
97,127
158,191
176,61
106,92
79,97
120,142
10,214
191,140
215,187
115,142
194,42
243,46
214,166
96,87
104,4
71,172
116,119
124,150
158,129
221,42
15,135
66,56
130,199
187,209
111,50
151,145
55,252
123,111
242,237
9,185
236,78
185,110
241,50
164,86
72,33
76,16
156,52
113,105
134,218
204,11
240,74
88,176
17,173
128,110
222,72
185,170
118,125
126,106
233,87
86,187
139,121
114,27
186,136
191,36
152,222
54,143
131,74
245,243
174,58
40,45
210,196
3,211
100,189
48,229
191,99
134,7
119,71
12,251
250,58
217,122
71,17
156,140
27,212
27,187
18,247
153,90
222,2
110,139
69,105
236,62
227,167
125,131
93,133
223,130
130,105
10,116
228,108
114,212
31,32
154,128
119,32
56,57
130,16
48,26
99,118
241,219
208,1
5,134
239,37
61,200
53,86
109,246
137,79
169,185
3,131
41,97
34,237
242,228
163,97
168,129
110,219
70,215
5,146
252,134
165,224
208,218
32,248
110,105
6,169
11,158
15,159
4,56
79,92
69,249
181,104
26,0
162,75
10,38
118,243
187,98
235,224
216,116
98,232
38,254
167,60
51,203
153,159
220,16
193,230
247,186
68,137
103,216
119,155
97,110
60,200
245,103
102,68
48,76
66,191
200,177
211,17
44,188
244,59
1,240
107,9
84,21
134,83
74,156
2,108
218,237
124,177
155,202
232,163
41,153
223,60
15,101
213,181
159,67
1,44
172,178
114,146
232,30
3,0
31,215
178,72
86,238
67,133
238,145
61,11
97,34
